IDA_FASHMaterials,IDA_FASH,IDSort,Sxolia,IDA_FASHQuantity,IDA_FASHLoose,IDA_FASHRecipe,IDA_FASHDelete
1053,6750,6750,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1085,6797,6797,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1086,6798,6798,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1087,6799,6799,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1088,6800,6800,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1089,6801,6801,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1090,6802,6802,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1091,6803,6803,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1092,6804,6804,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1093,6805,6805,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1094,6806,6806,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1096,6808,6808,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1097,6809,6809,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1098,6810,6810,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1099,6811,6811,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1100,6812,6812,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1101,6813,6813,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1102,6814,6814,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1103,6815,6815,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1104,6816,6816,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1105,6817,6817,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1106,6818,6818,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1107,6819,6819,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1108,6820,6820,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1109,6821,6821,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1110,6822,6822,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1111,6823,6823,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1112,6824,6824,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1113,6825,6825,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1114,6826,6826,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1115,6827,6827,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1116,6828,6828,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1117,6829,6829,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1118,6830,6830,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1119,6831,6831,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1120,6832,6832,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1121,6833,6833,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1122,6834,6834,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1123,6835,6835,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1124,6836,6836,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1125,6837,6837,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1126,6838,6838,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1127,6839,6839,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1128,6840,6840,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1129,6841,6841,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1130,6842,6842,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1131,6843,6843,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1132,6844,6844,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1133,6845,6845,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
