IdAdvice,Advice
1,"*Με διπλό κλικ επάνω στον κωδικό ή περιγραφή κάθε καταλόγου ανοίγει η καρτέλα που αντιστοιχεί στη γραμμή που επιλέξαμε.
*Με δεξί κλικ ανοίγει μενού από το οποίο μπορούμε να φιλτράρουμε τα δεδομένα των καταλόγων σε παρόμοιες ομάδες,να ταξινομήσουμε τα δεδομένα σε αύξουσα ή φθίνουσα σειρά και με το φακό εύρεσης να αναζητήσουμε συγκεκριμένη εγγραφή."
2,"Όλες οι εκθέσεις μπορούν να μεταφερθούν σε Word ή excel.
Με δεξί κλικ πάνω στην προεπισκόπηση της έκθεσης διαλέγω την επιλογή Word ή excel."
3,"Η αναζήτηση σε ένα κατάλογο με πολλές εγγραφές διευκολύνεται κανοντας κλικ σε ένα οποιοδήποτε πεδίο της στήλης που μας ενδιαφέρει και πληκρολογώντας Ctrl+F.
Στη φόρμα αναζήτησης γράφουμε τα πρώτα γράμματα της λέξης + enter."
4,"ΠΡΩΤΕΣ ΚΑΙ ΒΟΗΘΗΤΙΚΕΣ ΥΛΕΣ :Είναι τα υλικά που χρησιμοποιούμε  για να παρασκευάσουμε τα προϊόντα μας"
5,"ΥΛΙΚΑ ΑΜΕΣΗΣ ΣΥΣΚΕΥΑΣΙΑΣ: Είναι τα υλικά συσκευασίας που αποτελούν μέρος του βάρους του πωλούμενου προϊόντος(π.χ. συσκευάζω μπακλαβαδάκια σε σκαφάκια και τα πουλάω με το κιλό, άρα στο κιλό τελικού προϊόντος συμμετάσχει και το υλικό συσκευασίας.)"
6,"ΥΛΙΚΑ ΤΕΛΙΚΗΣ ΣΥΣΚΕΥΑΣΙΑΣ: Είναι τα υλικά συσκευασίας που χρησιμοποιούμε για να μεταφέρουμε το προϊόν και δεν αποτελούν μέρος του βάρους τους.(π.χ. χαρτοκιβώτια , φιλμ συσκευασίας προϊόντων που πωλούνται με το τεμάχιο, βάσεις για τούρτες κ.λ.π.) 
(***Στα υλικά συσκευασίας δεν περιλαμβάνεται η συσκευασία πωλήσεων στα καταστήματα (κουτιά,κορδέλες,περιτυλίγματα, αυτά περιλαμβάνονται στα γενικά έξοδα πωλήσεων.)"
7,"ΗΜΙΕΤΟΙΜΑ Α ΚΑΙ Β ΦΑΣΗΣ ΠΑΡΑΓΩΓΗΣ :Είναι τα ενδιάμεσα παραγόμενα προίόντα που δεν πωλούνται ως έχουν αλλά χρησημοποιούνται σε επόμενη φάση της παραγωγικής διαδικασίας.(π.χ. κρέμες,σιρόπια,γεμίσεις,σφολιάτες,επικαλύψεις,προζύμια κ.λ.π.)
Ως ημιέτοιμα Α φάσης νοούμε αυτά που γίνονται μόνο από πρώτες ύλες και ως Β φάσης αυτά που γίνονται από Α φάση και πρώτες ύλες ή μόνο από Α φάση."
8,"ΕΤΟΙΜΑ ΠΡΟΙΟΝΤΑ:Είναι τα τελικά προιόντα που μπορούν να παραχθούν από πρώτες ύλες μόνο ή από συνδιασμό πρωτων υλών και ημιετοίμων.
ΕΜΠΟΡΕΥΜΑΤΑ :Είναι ότι απλως αγοράζουμε και πουλάμε αυτούσιο."
9,"	ΑΠΟΔΟΣΗ ΕΠΕΞΕΡΓΑΣΙΑΣ: Την βρίσκουμε διαιρώντας το βάρος του  προιόντος μετά την επεξεργασία με το βάρος πριν την επεξεργασία και όλο αυτό επί 100. (για τα ημιέτοιμα και τα έτοιμα).Τα υπόλοιπα είδη έχουν απόδοση 100%
π.χ. Παρασκευάζω τσουρέκι και το βάρος ζύμης πριν το ψήσιμο είναι 1000g
μετά το ψήσιμο είναι  850g
άρα η ΑΠΟΔΟΣΗ  είναι    85%
Εάν το βάρος του προιόντος δεν μεταβάλλεται κατά την επεξεργασία (π.χ. προιόν που προέρχεται από απλή ανάμιξη υλικών) βάζω 100% στην απόδοση)."
10,"Μόλις κλείσουμε τον κατάλογο των ειδών όλα τα ΕΙΔΗ που όρισαμε ως ΗΜΙΕΤΟΙΜΑ ή ΕΤΟΙΜΑ  μεταφέρονται αυτόματα στους αντίστοιχους καταλόγους ΗΜΙΕΤΟΙΜΩΝ και ΕΤΟΙΜΩΝ και αναμένουν καταχώρηση συνταγής ,όπως περιγράφεται παρακάτω"
