IDB_FASH,B_FASH_IDStorage,B_FASH,B_FASHBasic,DateStart,DateFinish,IDCategory,IDSortSubCategory,IDMUnit,B_FASHPW,IDOperation,B_FASHYield,B_FASHScrap,B_FASHProcedure,B_FASHPrint,B_FASHDelete,Text1,Text2,Text3,No1,No2,No3,Date1,Date2,Memo1,YesNo1,YesNo2
6750,"200001","ΝΕΡΟ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ",,1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6797,"200102","ΑΛΕΥΡΙ Τ 70% ΜΑΛΑΚΟ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6798,"200103","ΑΛΕΥΡΙ Π55 ΑΡΤΟΠΟΙΙΑΣ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6799,"200105","ΑΛΕΥΡΙ ΣΙΚΑΛΗΣ 997",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6800,"200106","ΑΛΕΥΡΙ 90%  ΟΛΙΚΗΣ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6801,"200107","ΑΛΕΥΡΙ ΚΑΛΑΜΠΟΚΙΟΥ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6802,"200109","ΑΛΕΥΡΙ ΟΛΙΚΗΣ ΑΛΕΣΗΣ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6803,"200110","ΑΛΕΥΡΙ ΣΟΥΠΕΡ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6804,"200111","ΑΛΕΥΡΙ ΣΦΟΛΙΑΤΑΣ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6805,"200112","ΑΛΕΥΡΙ Τ. 70% ΔΥΝΑΤΟ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6806,"200113","ΑΛΕΥΡΙ  τ. Μ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6808,"200121","ΣΙΜΙΓΔΑΛΙ ΨΙΛΟ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6809,"200855","STARTER ΣΙΚΑΛΗΣ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6810,"200124","ΑΛΕΥΡΙ T.HOVIS",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6811,"200125","ΑΛΕΥΡΙ T. Μ ΨΙΛΟ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6812,"200126","ΑΛΕΥΡΙ  ΠΕΤΡ/ΛΟΥ ΟΛΙΚΗΣ ΣΚΛΗΡΟ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6813,"200127","ΑΛΕΥΡΙ ΤΣΟΥΡΕΚΙΟΥ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6814,"200854","VOLLSAUER",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6815,"200129","ΑΛΕΥΡΙ ΤΟΣΤ-ΦΡΥΓΑΝΙΑΣ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6816,"200201","ΖΑΧΑΡΗ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2002",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6817,"200202","ΖΑΧΑΡΗ ΑΧΝΗ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2002",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6818,"200204","ΖΑΧΑΡΗ ΜΑΥΡΗ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2002",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6819,"200207","ΑΜΥΛΟΣΙΡΟΠΙΟ(γλυκοζη)",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2002",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6820,"200208","ΜΕΛΙ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2002",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6821,"200209","ΣΟΡΒΙΤΟΛΗ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2002",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6822,"200210","ΣΤΑΦΙΔΙΝΗ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2002",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6823,"200211","ΦΟΝΤΑΝ(γλασσο)",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2002",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6824,"200212","ΦΡΟΥΚΤΟΖΗ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2002",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6825,"200213","ΔΕΞΤΡΟΖΗ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2002",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6826,"200222","ΙΜΒΕΡΤΟΖΑΧΑΡΟ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2002",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6827,"200302","ΓΑΛΑ ΣΚΟΝΗ 1%",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2003",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6828,"200303","ΓΑΛΑ ΣΚΟΝΗ 26% LEO",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2003",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6829,"200305","ΤΕΛΕΜΕΣ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2003",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6830,"200309","GOUDA BLOCK",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2003",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6831,"200310","ΚΑΣΕΡΙ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2003",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6832,"200311","ΚΕΦΑΛΟΤΥΡΙ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2003",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6833,"200312","ΜΥΖΗΘΡΑ (ΓΚΥΖΑ)",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2003",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6834,"200315","ΦΕΤΑ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2003",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6835,"200320","ΕΝΤΑΜ ΦΡΑΝΤΖΟΛΑ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2003",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6836,"200512","ΚΕΡΑΣΙΑ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2004",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6837,"200402","ΛΕΜΟΝΙ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2004",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6838,"200403","ΠΟΡΤΟΚΑΛΙ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2004",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6839,"200404","ΣΤΑΦΙΔΑ ΞΑΝΘΙΑ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2004",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6840,"32010","ΧΥΜΟΣ ΠΟΡΤΟΚΑΛΙΟΥ ΕΜΠΟΡΕΥΜΑ",0,"01/01/00 00:00:00","01/01/70 00:00:00","ΕΜΠ","32",2,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
