IDB_FASH,IDSort,IDB_FASHQuantity,IDB_FASHLoose,IDB_FASHRecipe,IDB_FASHDelete
6750,6750,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6797,6797,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6798,6798,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6799,6799,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6800,6800,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6801,6801,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6802,6802,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6803,6803,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6804,6804,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6805,6805,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6806,6806,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6808,6808,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6809,6809,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6810,6810,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6811,6811,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6812,6812,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6813,6813,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6814,6814,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6815,6815,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6816,6816,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6817,6817,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6818,6818,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6819,6819,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6820,6820,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6821,6821,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6822,6822,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6823,6823,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6824,6824,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6825,6825,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6826,6826,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6827,6827,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6828,6828,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6829,6829,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6830,6830,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6831,6831,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6832,6832,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6833,6833,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6834,6834,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6835,6835,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6836,6836,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6837,6837,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6838,6838,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6839,6839,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6840,6840,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6841,6841,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6842,6842,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6843,6843,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6844,6844,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6845,6845,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6846,6846,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6847,6847,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6848,6848,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6849,6849,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6850,6850,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6851,6851,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6852,6852,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6853,6853,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6854,6854,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6855,6855,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6856,6856,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6857,6857,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6858,6858,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6859,6859,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6860,6860,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6861,6861,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6862,6862,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6863,6863,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6864,6864,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6865,6865,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6866,6866,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6867,6867,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6868,6868,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6869,6869,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6870,6870,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6871,6871,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6872,6872,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6873,6873,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6874,6874,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6875,6875,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6876,6876,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6877,6877,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6878,6878,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6879,6879,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6880,6880,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6881,6881,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6882,6882,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6883,6883,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6884,6884,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6885,6885,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6886,6886,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6887,6887,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6888,6888,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6889,6889,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6890,6890,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6891,6891,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6892,6892,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6893,6893,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6894,6894,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6895,6895,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6896,6896,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6897,6897,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6898,6898,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6899,6899,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6900,6900,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6901,6901,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6902,6902,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6903,6903,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6904,6904,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6905,6905,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6906,6906,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6907,6907,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6909,6909,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6910,6910,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6911,6911,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6912,6912,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6913,6913,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6914,6914,1.0000000000000000e+00,0.0000000000000000e+00,0,0
