IDC_FASH,IDSort,IDOperation,IDC_FASHQuantity,IDC_FASHLoose,IDC_FASHRecipe,IDC_FASHDelete
7007,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7007,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7008,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7008,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7009,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7009,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7010,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7010,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7011,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7011,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7012,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7012,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7013,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7013,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7015,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7015,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7016,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7016,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7017,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7017,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7018,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7018,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7019,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7019,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7020,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7020,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7021,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7021,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7022,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7022,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7023,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7023,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7024,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7024,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7025,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7025,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7026,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7026,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7027,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7027,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7028,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7028,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7029,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7029,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7030,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7030,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7031,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7031,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7032,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7032,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7033,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7033,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7034,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7034,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7035,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7035,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7036,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
