IDDromologio,Dromologio,Text1,Text2,Text3,No1,No2,No3,Date1,Date2,Memo1,YesNo1,YesNo2
1,"Κ1 ΚΑΣΣΑΝΔΡΟΥ ΜΑΡΤΙΟΥ",,,,,,,,,,0,0
2,"Κ2 ΠΕΡΙΣΤΑΣΗΣ",,,,,,,,,,0,0
3,"Κ3 ΑΝΔΡΟΥΤΣΟΥ",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
4,"Κ4 ΜΑΡΤΙΟΥ ΚΑΣΣΑΝΔΡΟΥ ΠΕΡΙΣΤΑΣΗΣ",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
5,"Κ5 ΑΝΔΡΟΥΤΣΟΥ ΜΑΡΤΙΟΥ",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
6,"Κ6 ΚΑΣΣΑΝΔΡΟΥ ΠΕΡΙΣΤΑΣΗΣ",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
7,"Κ7 ΚΡΙΤΣΙΝΙΩΝ",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
8,"Σ1 ΚΑΣΣΑΝΔΡΟΥ ΠΕΡΙΣΤΑΣΗΣ",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
9,"Σ2 ΜΑΡΤΙΟΥ ΑΝΔΡΟΥΤΣΟΥ ΚΑΣΣΑΝΔΡΟΥ",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
10,"Σ3 ΚΑΣΣΑΝΔΡΟΥ ΠΕΡΙΣΡΑΣΗΣ",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
11,"Σ4 ΜΑΡΤΙΟΥ ΑΝΔΡΟΥΤΣΟΥ",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
12,"Σ5 ΜΑΡΤΙΟΥ ΑΝΔΡΟΥΤΣΟΥ",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
13,"Σ6 ΚΑΣΣΑΝΔΡΟΥ ΠΕΡΙΣΤΑΣΗ",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
