IdTecInf,Refresh,IDSortSubCategory,StorageContitions,SelfLife,ConsuptionGroup,PH,Aw,TPC,Mould fungi yeast,E coli
1243,0,"10","ΣΚΙΕΡΟ ΚΑΙ ΔΡΟΣΕΡΟ ΜΕΡΟΣ","24 ΩΡΕΣ","Ενδέχεται να περιέχει ίχνη Γάλακτος,ξηρων καρπών,αραχίδων,σόγιας,σπανακιού,αυγού","5,8-6,5","0,90-0,94",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1244,0,"11","ΣΚΙΕΡΟ ΚΑΙ ΔΡΟΣΕΡΟ ΜΕΡΟΣ","5-7 ΗΜΕΡΕΣ","Ενδέχεται να περιέχει ίχνη Γάλακτος,ξηρων καρπών,αραχίδων,σόγιας,σπανακιού,αυγού","6,4-7,0","0,87-0,90",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1245,0,"12","ΣΚΙΕΡΟ ΚΑΙ ΔΡΟΣΕΡΟ ΜΕΡΟΣ","24-72 ΩΡΕΣ","Ενδέχεται να περιέχει ίχνη Γάλακτος,ξηρων καρπών,αραχίδων,σόγιας,σπανακιού,αυγού","6,2-7,0","0,89-0,92",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1246,0,"13","ΣΚΙΕΡΟ ΚΑΙ ΔΡΟΣΕΡΟ ΜΕΡΟΣ","60-90 ΗΜΕΡΕΣ","Ενδέχεται να περιέχει ίχνη Γάλακτος,ξηρων καρπών,αραχίδων,σόγιας,σπανακιού,αυγού","6,8-7,4","0,60-0,65",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1247,0,"14","ΣΚΙΕΡΟ ΚΑΙ ΔΡΟΣΕΡΟ ΜΕΡΟΣ","20 ΗΜΕΡΕΣ","Ενδέχεται να περιέχει ίχνη Γάλακτος,ξηρων καρπών,αραχίδων,σόγιας,σπανακιού,αυγού","6,4-6,8","0,79-0,85",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1248,0,"15","ΣΚΙΕΡΟ ΚΑΙ ΔΡΟΣΕΡΟ ΜΕΡΟΣ","60-90 ΗΜΕΡΕΣ","Ενδέχεται να περιέχει ίχνη Γάλακτος,ξηρων καρπών,αραχίδων,σόγιας,σπανακιού,αυγού","6,8-7,4","0,60-0,65",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1249,0,"16","ΣΚΙΕΡΟ ΚΑΙ ΔΡΟΣΕΡΟ ΜΕΡΟΣ","90 ΗΜΕΡΕΣ","Ενδέχεται να περιέχει ίχνη Γάλακτος,ξηρων καρπών,αραχίδων,σόγιας,σπανακιού,αυγού","6,4-6,8","0,60-0,65",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1250,0,"18","ΣΚΙΕΡΟ ΚΑΙ ΔΡΟΣΕΡΟ ΜΕΡΟΣ","30-40 ΗΜΕΡΕΣ","Ενδέχεται να περιέχει ίχνη Γάλακτος,ξηρων καρπών,αραχίδων,σόγιας,σπανακιού,αυγού","5,5-6,0","0,65-0,70",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1251,0,"21","ΣΚΙΕΡΟ ΚΑΙ ΔΡΟΣΕΡΟ ΜΕΡΟΣ","60-90 ΗΜΕΡΕΣ","Ενδέχεται να περιέχει ίχνη Γάλακτος,ξηρων καρπών,αραχίδων,σόγιας,σπανακιού,αυγού","6,8-7,4","0,60-0,65",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1252,0,"17",,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1253,0,"19",,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1254,0,"20","ΣΚΙΕΡΟ ΚΑΙ ΔΡΟΣΕΡΟ ΜΕΡΟΣ","40 ΗΜΕΡΕΣ","Ενδέχεται να περιέχει ίχνη Γάλακτος,ξηρων καρπών,αραχίδων,σόγιας,σπανακιού,αυγού","4,7-5,5","0,60-0,65",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
