Year,Refresh,ProductionYearKg,CapitalDepreciationEquip,PercentagelDepreciationEquip,CapitalDepreciationsBuildings,PercentageDepreciationsBuildings,HireDam,EnergyDam,ManagmentDam,InsuranceDam,ConsaltingDam,MaintanceDam,OverheadRest,SalesPacDam,StoresDam,SalesmenDam,CarsDam,PromotionDam,OverheadSales,ServersDam,SalesDepreciationCapital,SalesDepreciationPercentage,Text1,Text2,Text3,No1,No2,No3,Date1,Date2,Memo1,YesNo1,YesNo2
2004,0,4.8000000000000000e+05,7.2999960000000006e+04,1.4999999999999999e-01,1.3842000000000000e+04,8.0000000000000002e-02,1440.0000,26280.0000,31880.0000,4160.0000,3000.0000,2500.0000,17000.0000,9500.0000,36800.0000,35420.0000,9296.0000,1000.0000,0.0000,0.0000,0.0000,1.4999999999999999e-01,,,,,,,,,,0,0
2005,0,5.1000000000000000e+05,1.3262000000000000e+05,1.4999999999999999e-01,1.2734639999999999e+04,8.0000000000000002e-02,0.0000,32400.0000,32500.0000,6271.0000,5000.0000,7200.0000,16400.0000,5050.0000,13900.0000,49000.0000,7925.0000,0.0000,17290.0000,0.0000,24300.0000,1.4999999999999999e-01,,,,,,,,,,0,0
2006,0,5.4000000000000000e+05,1.1563800000000000e+05,1.4999999999999999e-01,1.2516000000000000e+04,8.0000000000000002e-02,16950.0000,39000.0000,50900.0000,5400.0000,13100.0000,14200.0000,26550.0000,14330.0000,22500.0000,58000.0000,9200.0000,14000.0000,2000.0000,0.0000,0.0000,1.4999999999999999e-01,,,,,,,,,,0,0
2007,0,6.0000000000000000e+05,1.3700000000000000e+05,1.4999999999999999e-01,1.1514719999999999e+04,8.0000000000000002e-02,0.0000,52218.0000,60000.0000,7300.0000,20000.0000,10000.0000,26500.0000,6400.0000,25000.0000,63000.0000,6500.0000,8000.0000,0.0000,0.0000,0.0000,1.4999999999999999e-01,,,,,,,,,,0,0
2008,0,6.2000000000000000e+05,3.3947500000000000e+05,1.4999999999999999e-01,2.8937000000000000e+04,8.0000000000000002e-02,0.0000,0.0000,66000.0000,0.0000,0.0000,0.0000,133000.0000,10000.0000,32200.0000,92000.0000,3700.0000,0.0000,0.0000,0.0000,130000.0000,1.4999999999999999e-01,,,,,,,,,,0,0
2009,0,5.5000000000000000e+05,2.8855375000000000e+05,1.4999999999999999e-01,2.6622040000000001e+04,8.0000000000000002e-02,0.0000,70000.0000,70000.0000,9900.0000,13500.0000,5400.0000,33500.0000,15000.0000,45000.0000,100000.0000,9000.0000,10000.0000,6000.0000,0.0000,0.0000,1.4999999999999999e-01,,,,0.0000000000000000e+00,,,,,,0,0
2010,0,6.0000000000000000e+05,1.2800000000000000e+05,1.4999999999999999e-01,0.0000000000000000e+00,8.0000000000000002e-02,0.0000,54830.0000,90000.0000,11000.0000,14000.0000,10577.0000,57000.0000,49128.0000,64000.0000,153000.0000,10500.0000,7000.0000,45350.0000,20000.0000,300000.0000,1.4999999999999999e-01,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
2011,0,6.0500000000000000e+05,1.0800000000000000e+05,1.4999999999999999e-01,0.0000000000000000e+00,8.0000000000000002e-02,0.0000,74700.0000,90000.0000,12410.0000,17396.0000,26806.0000,11177.0000,29483.0000,52969.0000,202603.6000,10245.0000,21186.0000,0.0000,0.0000,0.0000,1.4999999999999999e-01,,,,2.0000000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
2012,0,6.0000000000000000e+05,1.7000000000000000e+05,1.4999999999999999e-01,1.6570000000000000e+04,8.0000000000000002e-02,0.0000,119707.0000,90000.0000,18788.0000,25947.0000,23020.0000,17244.0000,33728.0000,63637.0000,200000.0000,9078.0000,7181.0000,0.0000,0.0000,0.0000,1.4999999999999999e-01,,,,2.0000000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
2013,0,6.0000000000000000e+05,1.7266810999999999e+05,1.4999999999999999e-01,1.5244400000000000e+04,8.0000000000000002e-02,0.0000,142105.7000,90000.0000,14832.0000,19966.0000,11178.0000,9250.0000,32089.0000,61216.0000,197500.0000,39293.0000,17626.0000,0.0000,1910.0000,59000.0000,1.4999999999999999e-01,,,,2.0000000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
