IDLabel,IDSortStorage,SortDescrLabel,SubCtegoryLabel,Compotiton,DateExpiry,DateProduction,LN,Producer,Allergies,NetWeigth,Text2,Text3,No1,No2,No3,Date1,Date2,Memo1,YesNo1,YesNo2
7007,"10001","ΑΡΤΟΠ/ΣΜΑ Τ.ΦΑΡΙΝΑ ΚΑΤΕΡΙΝΗΣ","10-Ψωμιά","ΑΛΕΥΡΙ ΣΙΤΟΥΝΕΡΟ ΜΑΓΙΑ ΑΛΑΤΙ
ΦΥΤΙΚΑ ΛΙΠΑΡΑ ΖΑΧΑΡΗ
ΓΑΛ/ΤΗΣ Ε472e ΞΥΔΙ",,,,"ΑΡΤΟΣ ΕΦΕΣΟΥ","Ενδέχεται να περιέχει ίχνη Γάλακτος,ξηρων καρπών,αραχίδων,σόγιας,σπανακιού,αυγού",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
7008,"10002","ΑΡΤΟΠ/ΣΜΑ Τ.ΧΩΡΙΑΤΙΚΟ","10-Ψωμιά",,,,,"ΑΡΤΟΣ ΕΦΕΣΟΥ","Ενδέχεται να περιέχει ίχνη Γάλακτος,ξηρων καρπών,αραχίδων,σόγιας,σπανακιού,αυγού",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
7009,"10003","ΑΡΤΟΠ/ΣΜΑ Τ.ΦΑΡΙΝΑ","10-Ψωμιά",,,,,"ΑΡΤΟΣ ΕΦΕΣΟΥ","Ενδέχεται να περιέχει ίχνη Γάλακτος,ξηρων καρπών,αραχίδων,σόγιας,σπανακιού,αυγού",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
7010,"10004","ΑΡΤΟΠ/ΣΜΑ Τ.90%","10-Ψωμιά",,,,,"ΑΡΤΟΣ ΕΦΕΣΟΥ","Ενδέχεται να περιέχει ίχνη Γάλακτος,ξηρων καρπών,αραχίδων,σόγιας,σπανακιού,αυγού",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
7011,"10005","ΣΑΝΤΟΥΙΤΣ ΨΩΜΑΚΙ","10-Ψωμιά",,,,,"ΑΡΤΟΣ ΕΦΕΣΟΥ","Ενδέχεται να περιέχει ίχνη Γάλακτος,ξηρων καρπών,αραχίδων,σόγιας,σπανακιού,αυγού",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
7012,"10006","ΚΟΥΛΟΥΡΙ ΘΕΣΣΑΛΟΝΙΚΗΣ","10-Ψωμιά",,,,,"ΑΡΤΟΣ ΕΦΕΣΟΥ","Ενδέχεται να περιέχει ίχνη Γάλακτος,ξηρων καρπών,αραχίδων,σόγιας,σπανακιού,αυγού",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
7013,"10010","ΝΤΟΝΑΤΣ","10-Ψωμιά",,,,,"ΑΡΤΟΣ ΕΦΕΣΟΥ","Ενδέχεται να περιέχει ίχνη Γάλακτος,ξηρων καρπών,αραχίδων,σόγιας,σπανακιού,αυγού",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
7015,"10012","ΚΟΥΛΟΥΡΙ ΜΕΡΕΝΤΑ","10-Ψωμιά",,,,,"ΑΡΤΟΣ ΕΦΕΣΟΥ","Ενδέχεται να περιέχει ίχνη Γάλακτος,ξηρων καρπών,αραχίδων,σόγιας,σπανακιού,αυγού",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
7016,"10013","ΛΕΙΤΟΥΡΓΙΕΣ","10-Ψωμιά",,,,,"ΑΡΤΟΣ ΕΦΕΣΟΥ","Ενδέχεται να περιέχει ίχνη Γάλακτος,ξηρων καρπών,αραχίδων,σόγιας,σπανακιού,αυγού",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
7017,"10014","ΑΡΤΟΠ/ΣΜΑ Τ.ΓΑΛΛΙΚΗ ΜΠΑΚΕΤΑ","10-Ψωμιά",,,,,"ΑΡΤΟΣ ΕΦΕΣΟΥ","Ενδέχεται να περιέχει ίχνη Γάλακτος,ξηρων καρπών,αραχίδων,σόγιας,σπανακιού,αυγού",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
7018,"10015","ΑΡΤΟΠ/ΣΜΑ Τ. ΛΑΓΑΝΑ","10-Ψωμιά",,,,,"ΑΡΤΟΣ ΕΦΕΣΟΥ","Ενδέχεται να περιέχει ίχνη Γάλακτος,ξηρων καρπών,αραχίδων,σόγιας,σπανακιού,αυγού",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
7019,"10016","ΑΡΤΟΠ/ΣΜΑ Τ.ΦΡΑΝΤΖΟΛΑΚΙ","10-Ψωμιά",,,,,"ΑΡΤΟΣ ΕΦΕΣΟΥ","Ενδέχεται να περιέχει ίχνη Γάλακτος,ξηρων καρπών,αραχίδων,σόγιας,σπανακιού,αυγού",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
7020,"10017","ΑΡΤΟΠ/ΜΑ ΜΠΑΚΕΤΑΚΙ ΜΑΥΡΟ","10-Ψωμιά",,,,,"ΑΡΤΟΣ ΕΦΕΣΟΥ","Ενδέχεται να περιέχει ίχνη Γάλακτος,ξηρων καρπών,αραχίδων,σόγιας,σπανακιού,αυγού",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
7021,"10018","ΑΡΤΟΠ/ΣΜΑ Τ.ΠΙΝΑΚΩΤΙ 350gr(χειροποιητο)","10-Ψωμιά",,,,,"ΑΡΤΟΣ ΕΦΕΣΟΥ","Ενδέχεται να περιέχει ίχνη Γάλακτος,ξηρων καρπών,αραχίδων,σόγιας,σπανακιού,αυγού",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
7022,"10019","ΑΡΤΟΠ/ΣΜΑ Τ.ΣΙΜΙΓΔΑΛΙ","10-Ψωμιά",,,,,"ΑΡΤΟΣ ΕΦΕΣΟΥ","Ενδέχεται να περιέχει ίχνη Γάλακτος,ξηρων καρπών,αραχίδων,σόγιας,σπανακιού,αυγού",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
7023,"10020","ΑΡΤΟΠ/ΣΜΑ Τ.ΤΣΙΑΠΑΤΑ ΦΟΡΜΑΚΙ","10-Ψωμιά",,,,,"ΑΡΤΟΣ ΕΦΕΣΟΥ","Ενδέχεται να περιέχει ίχνη Γάλακτος,ξηρων καρπών,αραχίδων,σόγιας,σπανακιού,αυγού",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
7024,"10021","ΑΡΤΟΠ/ΣΜΑ Τ.ΧΩΡΙΑΤΙΚΟ ΜΠΑΓΚΕΤΑΚΙ","10-Ψωμιά",,,,,"ΑΡΤΟΣ ΕΦΕΣΟΥ","Ενδέχεται να περιέχει ίχνη Γάλακτος,ξηρων καρπών,αραχίδων,σόγιας,σπανακιού,αυγού",,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
