IdMachine,Machine,IDSection,ConstractionDate,Constractor,ConstractorTel,ConstractorFax,ConstractorMail,Reprasantator,ReprasantatorContact,ReprasantatorTel,ReprasantatorFax,ReprasantatorMail
"01","ΔΙΕΡΑΙΤΙΚΟ-ΣΤΡΟΓΓΥΛΕΥΤΙΚΟ","1ΠΑ",,,,,,"ΠΟΡΤΟΥΛΟΓΛΟΥ","ΑΓΟΡΑ ΟΚΤΩΒΡΙΟΣ 2007",,,
"02","ΠΕΡΙΣΤΡΟΦΙΚΟΣ ΕΛΜΑΣ","1ΠΑ",,,,,,,,,,
"03","ΚΡΙΤΣΙΝΟΜΗΧΑΝΗ","1ΠΑ",,,,,,,,,,
"04","ΨΥΓΕΙΟ-ΣΤΟΦΑ ΕΛΜΑΣ","2ΠΖ",,,,,,,,,,
"05","ΠΛΥΝΤΗΡΙΟ XOBART  ΤΟΥΝΕΛ","2ΠΖ",,,,,,,,,,
"06","ΠΡΕΣΑ ΚΟΠΗΣ ΒΕΡΝΕΡ","1ΠΑ",,"ΜΠΟΓΚΑΡΝΤ",,,,"ΚΩΣΤΟΠΟΥΛΟΣ",,,,
"07","ΦΟΥΡΝΟΣ MATADOR No 1","1ΠΑ",,,,,,,,,,
"08","ΦΟΥΡΝΟΣ MATADOR ΜΕΣΑΙΟΣ","1ΠΑ",,,,,,,,,,
"09","ΠΡΟΣΤΟΦΑ ΕΛΜΑΣ","1ΠΑ","10/02/05 00:00:00",,,,,,,,,
"10","ΠΛΑΣΤΙΚΗ ΕΛΜΑΣ","1ΠΑ",,,,,,,,,,
"100","ΚΑΤΑΨΥΚΤΗΣ ΜΟΝΟΣ NORDEN","2ΠΖ",,,,,,,,,,
"101","ΔΑΠΑΝΕΣ ΑΓΟΡΑΣ ΕΞΟΠΛΙΣΜΟΥ ΠΑΡΑΓΩΓΗΣ","ΔΠ",,,,,,,,,,
"102","ΔΑΠΑΝΕΣ ΑΓΟΡΑΣ ΕΞΟΠΟΛΙΣΜΟΥ ΠΩΛΗΣΕΩΝ","ΔΠΛ",,,,,,,,,,
"103","ΔΑΠΑΝΕΣ ΕΝΕΡΓΕΙΑΣ ΠΑΡΑΓΩΓΗΣ(ΔΕΗ-ΟΤΕ-ΠΕΤΡΕΛΑΙΟ-ΔΕΥ)","ΔΠ",,,,,,,,,,
"104","ΔΑΠΑΝΕΣ ΑΣΦΑΛΙΣΗΣ ΠΑΡΑΓΩΓΗΣ(ΤΕΒΕ,ΚΤΙΡΙΩΝ κλπ)","ΔΠ",,,,,,,,,,
"105","ΔΑΠΑΝΕΣ  ΣΥΝ/ΣΗΣ ΚΤΙΡΙΩΝ ΠΑΡΑΓΩΓΗΣ(ΔΙΑΦΟΡΑ)","ΔΠ",,,,,,,,,,
"106","ΔΑΠΑΝΕΣ  ΣΥΣΚΕΥΑΣΙΑΣ ΠΑΡΑΓΩΓΗΣ","ΔΠ",,,,,,,,,,
