IdMachineDamage,IdMachine,DamageDate,Damage,DamageTechnical,DamageCost,DamageRemarks
25,"13","04/11/05 00:00:00","Βίδες από το χερούλι","Μόνος μου",0.0000,
26,"02","04/24/05 00:00:00","ΓΡΑΣΑΡΙΣΜΑ ΚΕΝΡΙΚΟΥ ΡΟΥΛΕΜΑΝ","ΜΟΝΟΣ ΜΟΥ",0.0000,
27,"13","04/23/05 00:00:00","ΘΕΡΜΙΚΟ ΣΥΝΕΧΕΙΑ ΚΑΙ ΘΟΡΥΒΟΣ","ΣΑΡΑΠΤΣΗΣ",0.0000,"ΣΤΗΝ ΑΡΧΗ ΞΕΚΙΝΗΣΕ ΝΑ ΤΕΛΕΙΩΝΕΙ ΤΟ ΠΡΕΣΑΡΙΣΜΑ ΚΑΙ ΝΑ ΜΗΝ ΣΤΑΜΑΤΑ ΕΝΏ ΣΥΓΧΡΟΝΩΣ ΝΑ ΚΑΝΕΙ ΚΑΙ ΈΝΑ ΔΙΑΦΟΡΕΤΙΚΟ ΘΟΡΥΒΟ ΚΑΙ ΜΕΤΑ ΠΑΡΟΥΣΙΑΣΕ ΘΕΡΜΙΚΑ."
28,"13","04/26/05 00:00:00","Χαλασε ο γενικος διακοπτης  της πρέσας(μαζεψε ακαθαρσίες)","Σαραπτσής",10.0000,
29,"13","04/28/05 00:00:00","Χάλασε ένα ρελεδάκι από πίσω και αντικαταστιθικε","Σαραπτσής",40.0000,"30 ευρο έκανε το ρελέ και 10 ευρο πήρε ο Σαραπτσής"
30,"14","04/27/05 00:00:00","Έσπασε η κομπίλια από το χερούλι και η γλώσα που ανοιγοκλείνει","Μόνος μου",0.0000,
32,"13","05/10/05 00:00:00","ΧΑΛΑΣΕ Ο ΠΥΡΡΟΣ ΑΠΌ ΤΟ ΧΕΡΟΥΛΙ","ΜΟΝΟΣ ΜΟΥ",0.0000,
33,"10","05/08/05 00:00:00",,,0.0000,"Παρουσίασε θόρυβο το δεξι μπροστινό ρουλεμαν από τον κύλινδρο"
34,"34","05/08/05 00:00:00",,,0.0000,"ΔΕΝ ΑΝΕΒΑΖΕΙ ΕΥΚΟΛΑ ΘΕΡΜΟΚΤΑΣΙΑ.ΚΑΘΗΣΤΕΡΕΙ ΠΕΡΙΠΟΥ 100 ΛΕΠΤΑ."
35,"57","04/25/05 00:00:00",,"Μιντος",420.0000,"ΧΑΝΕΙ ΠΟΛΛΑ ΛΑΔΙΑ ΑΠΌ ΤΗΝ ΤΣΙΜΟΥΧΑ"
36,"69","05/25/05 00:00:00",,"ΤΕΥΤΣΗΣ",80.0000,"25 ΕΥΡΩ ΤΕΧΝΙΚΑ ΚΑΙ 55 ΕΥΡΩ ΓΙΑ ΦΙΛΤΡΑ ΠΕΤΡΕΛΑΙΟΥ,ΑΕΡΟΣ,ΛΑΔΙΟΥ."
37,"07","06/28/05 00:00:00","ΘΕΡΜΙΚΟ+ΡΕΛΕ+ΤΟΥΡΜΠΙΝΑ","ΣΑΡΑΠΤΣΗΣ+ ΔΑΛΑΚΛΗΣ",370.0000,"ΜΕ ΤΗΝ ΑΛΛΑΓΗ ΡΕΥΜΑΤΟΣ ΑΠΌ ΔΕΗ ΣΕ ΓΕΝΝΗΤΡΙΑ ΚΑΗΚΑΝ ΜΑΖΙ ΡΕΛΕ-ΘΕΡΜΙΚΟ-ΤΟΥΡΜΠΙΝΑ ΦΟΥΡΡΝΟΥ."
38,"11","06/20/05 00:00:00","ΑΛΛΑΓΗ ΔΙΑΚΟΠΤΗ  On-off","ΣΑΡΑΠΤΣΗΣ",0.0000,
39,"71","06/15/05 00:00:00","ΣΕΡΒΙΣ ΚΑΙ ΑΛΛΑΓΗ ΤΑ ΤΑΚΑΚΙΑ","ΤΕΥΤΣΗΣ",250.0000,
40,"07","06/30/05 00:00:00","ΣΥΝΤΗΡΗΣΗ ΕΞΑΜΗΝΟΥ","ΖΙΩΓΑΣ",30.0000,
41,"02","05/30/05 00:00:00","ΣΥΝΤΗΡΗΣΗ ΚΑΥΣΤΗΡΑ-ΑΛΛΑΓΗ ΑΥΤΟΜΑΤΟΥ-ΜΠΕΚ-ΦΩΤΟΚΥΤΑΡΟΥ",,120.0000,
