IdMachineMaintanceAfter,IdMachine,IdMaintanceAfter,IdMaintanceDate
3,"11",3,"12/10/06 00:00:00"
4,"68",3,"05/15/05 00:00:00"
5,"17",5,"04/30/03 00:00:00"
6,"12",3,"10/30/11 00:00:00"
11,"19",9,"06/30/04 00:00:00"
12,"02",5,"03/15/04 00:00:00"
13,"02",3,"05/01/05 00:00:00"
14,"02",14,"04/20/05 00:00:00"
15,"02",12,"07/01/06 00:00:00"
19,"23",13,"04/20/05 00:00:00"
20,"69",1,"05/27/05 00:00:00"
23,"02",3,"03/15/06 00:00:00"
24,"02",11,"03/15/06 00:00:00"
25,"02",3,"06/20/06 00:00:00"
26,"02",11,"02/08/07 00:00:00"
28,"07",11,"06/20/06 00:00:00"
38,"16",5,"12/25/05 00:00:00"
43,"24",9,"03/15/06 00:00:00"
44,"25",3,"03/15/06 00:00:00"
45,"25",9,"03/15/06 00:00:00"
46,"25",11,"03/15/06 00:00:00"
47,"28",12,"06/15/06 00:00:00"
48,"30",13,"03/15/06 00:00:00"
49,"30",11,"03/15/06 00:00:00"
51,"33",10,"12/10/06 00:00:00"
52,"33",9,"12/10/06 00:00:00"
53,"34",13,"06/25/06 00:00:00"
54,"37",17,"10/10/06 00:00:00"
55,"48",11,"03/15/06 00:00:00"
56,"50",1,"10/15/05 00:00:00"
57,"54",12,"06/15/06 00:00:00"
58,"55",17,"07/10/06 00:00:00"
59,"56",17,"07/10/06 00:00:00"
60,"57",9,"06/25/06 00:00:00"
61,"58",12,"01/30/07 00:00:00"
62,"67",10,"06/25/06 00:00:00"
64,"68",3,"03/15/06 00:00:00"
65,"68",13,"03/15/06 00:00:00"
66,"72",13,"03/15/06 00:00:00"
67,"75",11,"06/25/06 00:00:00"
68,"75",8,"06/25/06 00:00:00"
69,"75",14,"03/15/06 00:00:00"
70,"08",11,"06/25/06 00:00:00"
72,"08",12,"06/15/06 00:00:00"
73,"08",14,"10/15/05 00:00:00"
75,"07",3,"06/20/06 00:00:00"
81,"07",8,"09/20/06 00:00:00"
82,"08",3,"11/20/06 00:00:00"
83,"08",8,"09/20/06 00:00:00"
84,"09",3,"06/20/06 00:00:00"
85,"09",13,"06/20/06 00:00:00"
86,"09",11,"06/20/06 00:00:00"
88,"11",11,"02/08/07 00:00:00"
89,"13",13,"06/20/06 00:00:00"
90,"13",9,"06/20/06 00:00:00"
91,"15",3,"06/20/06 00:00:00"
92,"17",3,"06/20/06 00:00:00"
93,"20",3,"06/20/06 00:00:00"
95,"22",13,"10/20/06 00:00:00"
96,"24",9,"08/20/06 00:00:00"
97,"41",11,"02/08/07 00:00:00"
98,"67",9,"06/25/06 00:00:00"
102,"07",12,"06/15/06 00:00:00"
105,"64",13,"02/08/07 00:00:00"
107,"07",14,"07/20/06 00:00:00"
109,"02",12,"01/30/07 00:00:00"
110,"07",3,"10/20/06 00:00:00"
111,"07",11,"10/20/06 00:00:00"
112,"08",11,"02/08/07 00:00:00"
