IDMarketer,IDMarketer1,IDMarketerCategory,CompanyName,AccountableSurName,AccountableName,Country,Part,City,Section,Address,Telefon1,Telefon2,Telefon3,Fax,e-mail,Text1,Text2,Text3,No1,No2,No3,No4,Date1,Date2,Memo1,YesNo1,YesNo2
836,101,1,"ΠΑΓΓΕΛΑΣ Α.Ε","ΒΑΦΟΠΟΥΛΟΣ ΚΛΕΟΒΟΥΛΟΣ",,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ","ΚΑΤΕΡΙΝΗ",,"1ον Χιλ.ΠΑΛ.ΕΘΝ.ΟΔ.ΚΑΤ.ΘΕΣ/ΚΗΣ","2351029207","2351023826",,,,"Υπό προυποθέσεις εγκεκριμένος",,,6.9000000000000004e+00,,,,,,,0,0
837,102,1,"ΑΛΛΑΤΙΝΗ",,,"ΕΛΛΑΔΑ","ΘΕΣ/ΚΗΣ","ΘΕΣ/ΚΗ","57022 ΣΙΝΔΟΣ","Ο.Τ. 40 Β' ΦΑΣΗ  ΒΙ.ΠΕ.Θ. ΣΙΝΔΟΥ","2310-571000-1-2","571044-5-6",,"571010",,,,,,,,,,,,0,0
839,104,1,"ΜΥΛΟΙ  ΠΑΠΑΦΙΛΗ Α.Ε",,,"ΕΛΛΑΔΑ","ΚΟΡΙΝΘΙΑΣ","ΚΑΛΑΜΑΚΙ","ΙΣΘΜΟΥ","ΙΣΘΜΙΑ ΚΟΡΙΝΘΙΑΣ Τα.Κ 20100","27410-37811","37111",,"27410-37813",,"Υπό προυποθέσεις εγκεκριμένος",,,5.0000000000000000e+00,,,,,,,0,0
840,151,1,"ΤΣΙΤΛΑΚΙΔΟΥ ΔΕΣΠΟΙΝΑ",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ","ΚΑΤΕΡΙΝΗ",,"16ης ΟΚΤΩΒΡΙΟΥ  60","23307",,,,,,,,,,,,,,,0,0
841,164,1,"ΖΑΡΤΟ Ε.Π.Ε",,"ΔΡΙΚΟΣ ΒΑΣΙΛΗΣ","ΕΛΛΑΔΑ","ΘΕΣ/ΚΗΣ","54248 ΘΕΣ/ΝΙΚΗ",,"ΚΑΡΑΚΑΣΗ 9","328169",,,"2310-328179",,,,,,,,,,,,0,0
842,168,1,"ΚΑΛΛΑΣ-ΠΑΠΑΔΟΠΟΥΛΟΣ",,,"ΕΛΛΑΔΑ","ΘΕΣ/ΚΗΣ","ΘΕΣ/ΚΗ","57022 ΣΙΝΔΟΣ","Ο.Τ. 8 ΒΙ.ΠΕ.Θ. ΣΙΝΔΟΥ","2310-723324","795255",,"723325","kalas@spark.net.gr",,,,,,,,,,,0,0
843,105,1,"ΚΑΝΑΚΗΣ  ΣΤΕΛΙΟΣ",,,"ΕΛΛΑΔΑ","ΑΤΤΙΚΗΣ","ΑΘΗΝΑ","ΜΕΝΙΔΗ","ΑΝΕΜΟΝΗΣ 4","2419700",,"2462433",,,,,,,,,,,,,0,0
844,106,1,"ΜΑΥΡΟΜΑΤΗΣ  ΤΗΛΕΜΑΧΟΣ",,,"ΕΛΛΑΔΑ",,"ΠΕΙΡΑΙΑΣ","ΦΑΛΗΡΟ","ΓΙΑΝΝΟΠΟΥΛΟΥ 5","4822064",,"4825494",,,,,,,,,,,,,0,0
845,107,1,"ΥΙΟΙ Γ. ΣΥΡΑΝΙΔΗ",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ","ΚΑΤΕΡΙΝΗ","ΠΛΑΤΑΝΑΚΙΑ",,"53490","53262",,,,,,,,,,,,,,0,0
846,108,1,"ΑΙΓΑΙΟ","ΤΣΑΟΥΣΗ ΔΟΜΝΑ - ΧΡΥΣΑΓΗΣ ΚΩΝ. Ο.Ε.",,"ΕΛΛΑΔΑ","ΣΕΡΡΩΝ","ΣΕΡΡΕΣ",,"4ο χλμ.ΣΕΡΡΩΝ ΝΙΓΡΙΤΑΣ","23210-35647","36554","35322","35131",,,,,,,,,,,,0,0
