IdParaponoCat,ParaponoCat
1,"ΠΡΟΙΟΝ ΚΑΚΟΤΥΛΙΓΜΕΝΟ"
2,"ΠΡΟΙΟΝ ΣΠΑΣΜΕΝΟ-ΧΤΥΠΗΜΕΝΟ"
3,"ΠΡΟΙΟΝ ΜΕ ΛΙΓΟΤΕΡΗ Η ΚΑΘΟΛΟΥ ΓΕΜΙΣΗ"
4,"ΠΡΟΙΟΝ ΣΚΛΗΡΟ"
5,"ΠΡΟΙΟΝ ΜΕ ΞΕΝΑ ΣΩΜΑΤΑ ΕΝΣΩΜΑΤΩΜΕΝΑ"
6,"ΠΡΟΙΟΝ ΤΑΓΓΙΣΜΕΝΟ"
7,"ΚΑΚΗ ΕΚΤΥΠΩΣΗ ΥΛ.ΣΥΣΚΕΥΑΣΙΑΣ"
8,"ΚΑΚΗ ΕΚΤΥΠΩΣΗ ΣΑΚΟΥΛΑΣ"
9,"ΑΝΟΙΧΤΕΣ ΣΑΚΟΥΛΕΣ"
10,"ΕΛΛΙΠΟΒΑΡΕΙΣ ΣΑΚΟΥΛΕΣ"
11,"ΠΡΟΙΟΝ ΚΟΛΛΗΜΕΝΟ ΣΤΟ ΥΛΙΚΟ ΣΥΣΚΕΥΑΣΙΑΣ"
12,"ΠΡΟΪΟΝ ΣΟΚΟΛΑΤΑΣ ΑΛΛΟΙΩΜΕΝΟ"
13,"ΚΑΘΥΣΤΕΡΗΣΗ ΠΑΡΑΔΟΣΗΣ"
14,"ΠΡΟΪΟΝ ΜΕ ΑΣΘΕΝΕΣ Η ΚΑΘΟΛΟΥ ΧΡΩΜΑ"
15,"ΣΥΣΚΕΥΑΣΙΑ ΠΡΟΪΟΝΤΟΣ ΣΤΗΝ ΟΠΟΙΑ ΠΕΡΙΕΧΕΤΑΙ ΚΑΙ ΔΙΑΦΟΡΕΤΙΚΟ ΠΡΟΪΟΝ"
16,"ΠΡΟΙΟΝ ΜΕ ΠΡΟΒΛΗΜΑ ΣΤΟ ΑΡΩΜΑ"
17,"ΠΡΟΒΛΗΜΑ ΠΑΡΑΔΟΣΗΣ ΑΠΟ ΤΗ ΜΕΤΑΦΟΡΙΚΗ"
