IDProdDate,Date,Print,PrDateSxolia
996,"01/04/08 00:00:00",0,
997,"01/05/08 00:00:00",0,
998,"01/07/08 00:00:00",0,
999,"01/08/08 00:00:00",0,
1000,"01/09/08 00:00:00",0,
1001,"01/10/08 00:00:00",0,
1002,"01/11/08 00:00:00",0,
1003,"01/12/08 00:00:00",0,
1004,"01/14/08 00:00:00",0,
1005,"01/15/08 00:00:00",0,
1006,"01/16/08 00:00:00",0,
1007,"01/17/08 00:00:00",0,
1008,"01/18/08 00:00:00",0,
1009,"01/19/08 00:00:00",0,
1010,"01/21/08 00:00:00",0,
1011,"01/22/08 00:00:00",0,
1012,"01/23/08 00:00:00",0,
1013,"01/24/08 00:00:00",0,
1014,"01/25/08 00:00:00",0,
1015,"01/26/08 00:00:00",0,
1016,"01/28/08 00:00:00",0,
1017,"01/29/08 00:00:00",0,
1020,"01/30/08 00:00:00",0,
1021,"01/31/08 00:00:00",0,
1022,"02/01/08 00:00:00",0,
1023,"02/02/08 00:00:00",0,
1024,"02/04/08 00:00:00",0,
1025,"02/05/08 00:00:00",0,
1026,"02/06/08 00:00:00",0,
1027,"02/07/08 00:00:00",0,
1028,"02/08/08 00:00:00",0,
1029,"02/09/08 00:00:00",0,
1030,"02/11/08 00:00:00",0,
1031,"02/12/08 00:00:00",0,
1032,"02/13/08 00:00:00",0,
1033,"02/14/08 00:00:00",0,
1035,"02/15/08 00:00:00",0,
1036,"02/16/08 00:00:00",0,
1037,"02/18/08 00:00:00",0,
1038,"02/19/08 00:00:00",0,
1039,"02/20/08 00:00:00",0,
1040,"02/21/08 00:00:00",0,
1041,"02/22/08 00:00:00",0,
1042,"02/23/08 00:00:00",0,
1043,"02/25/08 00:00:00",0,
1044,"02/26/08 00:00:00",0,
1045,"02/27/08 00:00:00",0,
1046,"02/28/08 00:00:00",0,
1047,"02/29/08 00:00:00",0,
1048,"03/01/08 00:00:00",0,
1049,"03/03/08 00:00:00",0,
1050,"03/04/08 00:00:00",0,
1051,"03/05/08 00:00:00",0,
1052,"03/06/08 00:00:00",0,
1053,"03/07/08 00:00:00",0,
1054,"03/08/08 00:00:00",0,
1055,"03/10/08 00:00:00",0,
1056,"03/11/08 00:00:00",0,
1057,"03/12/08 00:00:00",0,
1058,"03/13/08 00:00:00",0,
1059,"03/14/08 00:00:00",0,
1060,"03/15/08 00:00:00",0,
1061,"03/17/08 00:00:00",0,
1062,"03/18/08 00:00:00",0,
1063,"03/19/08 00:00:00",0,
1064,"03/20/08 00:00:00",0,
1065,"03/21/08 00:00:00",0,
1066,"03/22/08 00:00:00",0,
1067,"03/24/08 00:00:00",0,
1068,"03/26/08 00:00:00",0,
1069,"03/27/08 00:00:00",0,
1070,"03/28/08 00:00:00",0,
1071,"03/29/08 00:00:00",0,
1072,"03/31/08 00:00:00",0,
1073,"04/01/08 00:00:00",0,
1074,"04/02/08 00:00:00",0,
1075,"04/03/08 00:00:00",0,
1076,"04/04/08 00:00:00",0,
1077,"04/05/08 00:00:00",0,
1078,"04/07/08 00:00:00",0,
1079,"04/08/08 00:00:00",0,
1080,"04/09/08 00:00:00",0,
1081,"04/10/08 00:00:00",0,
1082,"04/11/08 00:00:00",0,
1083,"04/12/08 00:00:00",0,
1084,"04/14/08 00:00:00",0,
1085,"04/15/08 00:00:00",0,
1086,"04/16/08 00:00:00",0,
1087,"04/17/08 00:00:00",0,
1088,"04/18/08 00:00:00",0,
1089,"04/19/08 00:00:00",0,
1090,"04/21/08 00:00:00",0,
1091,"04/22/08 00:00:00",0,
1092,"04/23/08 00:00:00",0,
1093,"04/24/08 00:00:00",0,
1094,"04/25/08 00:00:00",0,
1095,"04/26/08 00:00:00",0,
1096,"04/29/08 00:00:00",0,
1097,"04/30/08 00:00:00",0,
1098,"05/02/08 00:00:00",0,
1099,"05/03/08 00:00:00",0,
1100,"05/05/08 00:00:00",0,
1101,"05/06/08 00:00:00",0,
1102,"05/07/08 00:00:00",0,
1103,"05/08/08 00:00:00",0,
1104,"05/09/08 00:00:00",0,
1105,"05/10/08 00:00:00",0,
1106,"05/12/08 00:00:00",0,
1107,"05/13/08 00:00:00",0,
1108,"05/14/08 00:00:00",0,
1109,"05/15/08 00:00:00",0,
1110,"05/16/08 00:00:00",0,
1111,"05/17/08 00:00:00",0,
1112,"05/19/08 00:00:00",0,
1113,"05/20/08 00:00:00",0,
1114,"05/21/08 00:00:00",0,
1115,"05/22/08 00:00:00",0,
1116,"05/23/08 00:00:00",0,
1117,"05/24/08 00:00:00",0,
1118,"05/26/08 00:00:00",0,
1119,"05/27/08 00:00:00",0,
1120,"05/28/08 00:00:00",0,
1121,"05/29/08 00:00:00",0,
1122,"05/30/08 00:00:00",0,
1123,"05/31/08 00:00:00",0,
1124,"06/02/08 00:00:00",0,
1125,"06/03/08 00:00:00",0,
1126,"06/04/08 00:00:00",0,
1127,"06/05/08 00:00:00",0,
1128,"06/06/08 00:00:00",0,
1129,"06/07/08 00:00:00",0,
1130,"06/09/08 00:00:00",0,
1131,"06/10/08 00:00:00",0,
1132,"06/11/08 00:00:00",0,
1133,"06/12/08 00:00:00",0,
1134,"06/13/08 00:00:00",0,
1135,"06/14/08 00:00:00",0,
1136,"06/17/08 00:00:00",0,
1137,"06/18/08 00:00:00",0,
1138,"06/19/08 00:00:00",0,
1139,"06/20/08 00:00:00",0,
1140,"06/21/08 00:00:00",0,
1141,"06/23/08 00:00:00",0,
1142,"06/24/08 00:00:00",0,
1143,"06/25/08 00:00:00",0,
1144,"06/26/08 00:00:00",0,
1145,"06/27/08 00:00:00",0,
1146,"06/28/08 00:00:00",0,
1147,"06/30/08 00:00:00",0,
1148,"07/01/08 00:00:00",0,
1149,"07/02/08 00:00:00",0,
1150,"07/03/08 00:00:00",0,
1151,"07/04/08 00:00:00",0,
1152,"07/05/08 00:00:00",0,
1153,"07/07/08 00:00:00",0,
1154,"07/08/08 00:00:00",0,
1155,"07/09/08 00:00:00",0,
1156,"07/10/08 00:00:00",0,
1157,"07/11/08 00:00:00",0,
1158,"07/12/08 00:00:00",0,
1159,"07/14/08 00:00:00",0,
1160,"07/15/08 00:00:00",0,
1161,"07/16/08 00:00:00",0,
1162,"07/17/08 00:00:00",0,
1163,"07/18/08 00:00:00",0,
1164,"07/19/08 00:00:00",0,
1165,"07/21/08 00:00:00",0,
1166,"07/22/08 00:00:00",0,
1167,"07/23/08 00:00:00",0,
1168,"07/24/08 00:00:00",0,
1169,"07/25/08 00:00:00",0,
1170,"07/26/08 00:00:00",0,
1171,"07/28/08 00:00:00",0,
1172,"07/29/08 00:00:00",0,
1173,"07/30/08 00:00:00",0,
1174,"07/31/08 00:00:00",0,
1175,"08/01/08 00:00:00",0,
1176,"08/02/08 00:00:00",0,
1177,"08/04/08 00:00:00",0,
1178,"08/05/08 00:00:00",0,
1180,"08/06/08 00:00:00",0,
1181,"08/07/08 00:00:00",0,
1182,"08/08/08 00:00:00",0,
1183,"08/09/08 00:00:00",0,
1184,"08/11/08 00:00:00",0,
1185,"08/12/08 00:00:00",0,
1186,"08/13/08 00:00:00",0,
1187,"08/14/08 00:00:00",0,
1188,"08/16/08 00:00:00",0,
1189,"08/18/08 00:00:00",0,
1190,"08/19/08 00:00:00",0,
1191,"08/20/08 00:00:00",0,
1192,"08/21/08 00:00:00",0,
1193,"08/22/08 00:00:00",0,
1194,"08/23/08 00:00:00",0,
1195,"08/25/08 00:00:00",0,
1196,"08/26/08 00:00:00",0,
1197,"08/27/08 00:00:00",0,
1198,"08/28/08 00:00:00",0,
1199,"08/29/08 00:00:00",0,
1200,"08/30/08 00:00:00",0,
1201,"09/01/08 00:00:00",0,
1202,"09/02/08 00:00:00",0,
1203,"09/03/08 00:00:00",0,
1204,"09/04/08 00:00:00",0,
1205,"09/05/08 00:00:00",0,
