IDRaw,Choice,Raw,IDCompositionDescription,IDCategory,Carbohydrt,Sugars,OrganicsAcid,Polyols,Alcohol,Fats,Protein,Ash,Fiber_,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Manganese,FA_Sat,FA_Mono,FA_Poly,Cholestrl,Emulsifiers,Stabilizers,CocosButter,MilkFats,Presevatives,Flavors,Colors
1,0,"ΝΕΡΟ",1,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e-03,0.0000000000000000e+00,2,0.00000000e+00,1,0,0,2,0.00000000e+00,7.00000022e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2,0,"Χωρίς σύσταση",1,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3,0,"ΑΛΕΥΡΙ Τ 70% ΜΑΛΑΚΟ",2,"Α_ΥΛΗ",7.6500000000000001e-01,7.6500000000000001e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e-02,8.5000000000000006e-02,5.0000000000000001e-03,0.0000000000000000e+00,15,8.99999976e-01,25,97,100,2,8.50000024e-01,1.81999996e-01,7.91999996e-01,2.40000011e-03,1.39999995e-03,6.20000018e-03,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
4,0,"ΑΛΕΥΡΙ Π55 ΑΡΤΟΠΟΙΙΑΣ",2,"Α_ΥΛΗ",7.3499999999999999e-01,7.3499999999999999e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e-02,1.1500000000000000e-01,8.0000000000000002e-03,0.0000000000000000e+00,15,8.99999976e-01,25,97,100,2,8.50000024e-01,1.81999996e-01,7.91999996e-01,2.40000011e-03,1.39999995e-03,7.30000017e-03,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
5,0,"ΑΛΕΥΡΙ Π55 ΖΑΧ\ΚΗΣ",2,"Α_ΥΛΗ",7.4500000000000000e-01,7.4500000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e-02,1.0500000000000000e-01,5.0000000000000001e-03,0.0000000000000000e+00,15,8.99999976e-01,25,97,100,2,8.50000024e-01,1.81999996e-01,7.91999996e-01,2.40000011e-03,1.39999995e-03,7.30000017e-03,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
7,0,"ΑΛΕΥΡΙ 90%  ΟΛΙΚΗΣ",2,"Α_ΥΛΗ",7.4199999999999999e-01,7.1999999999999997e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e-02,1.0500000000000000e-01,5.0000000000000001e-03,2.2000000000000002e-02,34,3.88000011e+00,138,346,405,5,2.93000007e+00,3.81999999e-01,3.79900002e+00,3.19999992e-03,2.30000005e-03,7.79999979e-03,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
8,0,"ΑΛΕΥΡΙ ΚΑΛΑΜΠΟΚΙΟΥ",480,"Α_ΥΛΗ",7.4500000000000000e-01,7.4500000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e-02,1.0500000000000000e-01,8.0000000000000002e-03,0.0000000000000000e+00,141,7.21000004e+00,110,223,298,5,1.77999997e+00,1.69000000e-01,4.83999997e-01,3.19999992e-03,2.30000005e-03,7.79999979e-03,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
10,0,"ΑΛΕΥΡΙ ΟΛΙΚΗΣ ΑΛΕΣΗΣ",2,"Α_ΥΛΗ",7.2599999999999998e-01,6.0399999999999998e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8700000000000001e-02,1.3699999999999998e-01,1.6000000000000000e-02,1.2200000000000000e-01,34,3.88000011e+00,138,346,405,5,2.93000007e+00,3.81999999e-01,3.79900002e+00,3.19999992e-03,2.30000005e-03,7.79999979e-03,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
11,0,"ΑΛΕΥΡΙ ΣΟΥΠΕΡ",2,"Α_ΥΛΗ",7.0999999999999996e-01,7.0999999999999996e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e-02,1.4000000000000001e-01,5.0000000000000001e-03,0.0000000000000000e+00,15,8.99999976e-01,25,97,100,2,8.50000024e-01,1.81999996e-01,7.91999996e-01,2.40000011e-03,1.39999995e-03,6.20000018e-03,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
12,0,"ΑΛΕΥΡΙ ΣΦΟΛΙΑΤΑΣ",2,"Α_ΥΛΗ",7.0999999999999996e-01,7.0999999999999996e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e-02,1.4000000000000001e-01,5.0000000000000001e-03,0.0000000000000000e+00,15,8.99999976e-01,25,97,100,2,8.50000024e-01,1.81999996e-01,7.91999996e-01,2.30000005e-03,1.39999995e-03,6.30000001e-03,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
13,0,"ΑΛΕΥΡΙ Τ. 70% ΔΥΝΑΤΟ",2,"Α_ΥΛΗ",7.3499999999999999e-01,7.3499999999999999e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e-02,1.1500000000000000e-01,5.0000000000000001e-03,0.0000000000000000e+00,15,8.99999976e-01,25,97,100,2,8.50000024e-01,1.81999996e-01,7.91999996e-01,2.40000011e-03,1.39999995e-03,6.20000018e-03,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
14,0,"ΑΛΕΥΡΙ ΤΥΠΟΥ Μ(κίτρινο)",2,"Α_ΥΛΗ",7.4500000000000000e-01,7.4500000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e-02,1.1000000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,15,8.99999976e-01,25,97,100,2,8.50000024e-01,1.81999996e-01,7.91999996e-01,2.40000011e-03,1.39999995e-03,7.30000017e-03,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
15,0,"ΑΛΕΥΡΙ ΦΥΛΛΟΥ",2,"Α_ΥΛΗ",7.3499999999999999e-01,7.3499999999999999e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e-02,1.1500000000000000e-01,5.0000000000000001e-03,0.0000000000000000e+00,15,8.99999976e-01,25,97,100,2,8.50000024e-01,1.81999996e-01,7.91999996e-01,2.40000011e-03,1.39999995e-03,7.30000017e-03,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
16,0,"ΑΜΥΛΟ ΚΑΛΑΜΠΟΚΙΟΥ ",3,"Α_ΥΛΗ",8.9000000000000001e-01,8.9000000000000001e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000001e-04,2.5000000000000001e-03,8.9999999999999998e-04,9.0000000000000011e-03,2,4.69999999e-01,3,13,3,9,5.99999987e-02,5.00000007e-02,5.00000007e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
17,0,"ΑΜΥΛΟ ΚΑΛΑΜΠΟΚΙΟΥ ΞΗΡΟ",3,"Α_ΥΛΗ",9.4000000000000006e-01,9.4000000000000006e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,,,,,,0.00000000e+00,0.00000000e+00,0.00000000e+00,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
18,0,"ΑΜΥΛΟ ΣΙΤΟΥ",3,"Α_ΥΛΗ",8.9000000000000001e-01,8.9000000000000001e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,,,,,,0.00000000e+00,0.00000000e+00,0.00000000e+00,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
