IDSalesDate,SalesDate,SalesPrint,IDMarketer
1,"01/01/05 00:00:00",0,879
2,"11/05/05 00:00:00",0,879
3,"11/05/05 00:00:00",0,880
4,"11/05/05 00:00:00",0,890
5,"11/04/05 00:00:00",0,890
6,"11/04/05 00:00:00",0,879
7,"11/03/05 00:00:00",0,890
8,"11/03/05 00:00:00",0,879
9,"11/01/05 00:00:00",0,880
10,"11/02/05 00:00:00",0,880
11,"11/03/05 00:00:00",0,880
12,"11/07/05 00:00:00",0,879
13,"11/07/05 00:00:00",0,890
14,"11/07/05 00:00:00",0,880
15,"11/08/05 00:00:00",0,880
16,"11/08/05 00:00:00",0,879
17,"11/08/05 00:00:00",0,890
18,"11/09/05 00:00:00",0,879
19,"11/09/05 00:00:00",0,890
20,"11/09/05 00:00:00",0,880
21,"11/10/05 00:00:00",0,879
22,"11/10/05 00:00:00",0,890
23,"11/11/05 00:00:00",0,880
24,"11/12/05 00:00:00",0,880
25,"11/12/05 00:00:00",0,890
26,"11/12/05 00:00:00",0,879
27,"11/10/05 00:00:00",0,880
28,"11/11/05 00:00:00",0,879
29,"11/11/05 00:00:00",0,890
30,"11/14/05 00:00:00",0,879
32,"11/14/05 00:00:00",0,880
33,"11/14/05 00:00:00",0,890
34,"11/15/05 00:00:00",0,890
35,"11/15/05 00:00:00",0,880
36,"11/15/05 00:00:00",0,879
37,"11/16/05 00:00:00",0,880
38,"11/16/05 00:00:00",0,879
39,"11/16/05 00:00:00",0,890
40,"11/17/05 00:00:00",0,890
41,"11/17/05 00:00:00",0,879
42,"11/17/05 00:00:00",0,880
43,"11/18/05 00:00:00",0,879
44,"11/18/05 00:00:00",0,890
45,"11/18/05 00:00:00",0,880
46,"11/19/05 00:00:00",0,880
47,"11/19/05 00:00:00",0,890
48,"11/19/05 00:00:00",0,879
49,"11/21/05 00:00:00",0,890
50,"11/21/05 00:00:00",0,879
51,"11/21/05 00:00:00",0,880
52,"11/22/05 00:00:00",0,880
53,"11/22/05 00:00:00",0,890
54,"11/22/05 00:00:00",0,879
55,"11/23/05 00:00:00",0,879
56,"11/23/05 00:00:00",0,890
57,"11/23/05 00:00:00",0,880
58,"11/24/05 00:00:00",0,890
59,"11/24/05 00:00:00",0,879
60,"11/24/05 00:00:00",0,880
61,"11/25/05 00:00:00",0,890
62,"11/26/05 00:00:00",0,879
63,"11/26/05 00:00:00",0,880
64,"11/26/05 00:00:00",0,890
65,"11/28/05 00:00:00",0,890
66,"11/28/05 00:00:00",0,879
67,"11/28/05 00:00:00",0,880
68,"11/29/05 00:00:00",0,890
69,"11/29/05 00:00:00",0,879
70,"11/29/05 00:00:00",0,880
71,"11/30/05 00:00:00",0,879
72,"11/30/05 00:00:00",0,890
73,"11/30/05 00:00:00",0,880
74,"12/01/05 00:00:00",0,890
75,"12/01/05 00:00:00",0,879
76,"12/01/05 00:00:00",0,880
77,"12/02/05 00:00:00",0,879
78,"12/02/05 00:00:00",0,890
79,"12/02/05 00:00:00",0,880
80,"12/03/05 00:00:00",0,880
81,"12/03/05 00:00:00",0,879
82,"12/03/05 00:00:00",0,890
83,"12/05/05 00:00:00",0,890
84,"12/05/05 00:00:00",0,879
85,"12/05/05 00:00:00",0,880
86,"12/06/05 00:00:00",0,880
87,"12/06/05 00:00:00",0,879
88,"12/06/05 00:00:00",0,890
89,"12/07/05 00:00:00",0,890
90,"12/07/05 00:00:00",0,879
91,"12/07/05 00:00:00",0,880
92,"12/08/05 00:00:00",0,890
93,"12/08/05 00:00:00",0,879
94,"12/08/05 00:00:00",0,880
95,"12/09/05 00:00:00",0,879
96,"12/09/05 00:00:00",0,890
97,"12/10/05 00:00:00",0,890
98,"12/10/05 00:00:00",0,879
99,"12/10/05 00:00:00",0,880
100,"12/12/05 00:00:00",0,879
101,"12/12/05 00:00:00",0,890
102,"12/09/05 00:00:00",0,880
103,"12/12/05 00:00:00",0,880
104,"12/13/05 00:00:00",0,880
105,"12/13/05 00:00:00",0,879
106,"12/13/05 00:00:00",0,890
107,"12/14/05 00:00:00",0,890
108,"12/14/05 00:00:00",0,879
109,"12/14/05 00:00:00",0,880
