IDAuto,IDSort,Basic,IDMarketer,Date,Price,Text1,Text2,Text3,No1,No2,No3,Date1,Date2
200,6798,0,837,"05/01/05 00:00:00",4.0999999999999998e-01,,,,,,,,
202,6797,0,836,"05/01/05 00:00:00",2.9999999999999999e-01,,,,,,,,
210,6937,0,841,"04/30/05 00:00:00",2.7900000000000000e+00,,,,,,,,
211,6822,0,878,"01/12/07 00:00:00",1.5600000000000001e+00,,,,,,,,
212,6871,0,840,,1.0900000000000001e+00,,,,,,,,
213,6871,0,878,"04/30/05 00:00:00",1.0500000000000000e+00,,,,,,,,
214,6952,0,878,"04/30/05 00:00:00",2.8999999999999999e+00,,,,,,,,
215,6938,0,841,"04/30/05 00:00:00",4.2300000000000004e+00,,,,,,,,
216,6880,0,859,"05/15/05 00:00:00",3.3300000000000001e+00,,,,,,,,
222,6968,0,856,"01/13/06 00:00:00",3.9700000000000002e-01,,,,,,,,
223,6874,0,850,"04/30/05 00:00:00",9.3000000000000005e-01,,,,,,,,
224,6897,0,850,"05/20/05 00:00:00",3.7000000000000002e+00,,,,,,,,
227,6921,0,842,"09/15/05 00:00:00",8.5999999999999999e-01,,,,,,,,
228,6921,0,855,"05/25/05 00:00:00",7.3999999999999999e-01,,,,,,,,
229,6920,0,855,"08/08/05 00:00:00",2.7000000000000002e+00,,,,,,,,
230,6906,0,878,"10/03/07 00:00:00",2.1000000000000001e+00,,,,,,,,
231,6878,0,859,"05/25/05 00:00:00",2.5600000000000001e+00,,,,,,,,
233,6803,0,836,"05/01/05 00:00:00",5.6999999999999995e-01,,,,,,,,
234,6805,0,837,"05/01/05 00:00:00",3.4999999999999998e-01,,,,,,,,
239,6810,0,837,"08/08/05 00:00:00",5.9460000000000002e-01,,,,,,,,
241,6814,0,859,"05/01/05 00:00:00",3.2599999999999998e+00,,,,,,,,
243,6816,0,837,"05/01/05 00:00:00",7.8000000000000003e-01,,,,,,,,
244,6817,0,878,"05/01/05 00:00:00",1.0700000000000001e+00,,,,,,,,
245,6819,0,837,"07/20/05 00:00:00",6.4000000000000001e-01,,,,,,,,
246,6819,0,878,"05/01/05 00:00:00",7.2999999999999998e-01,,,,,,,,
247,6820,0,,,,,,,,,,,
249,6826,0,878,,1.3899999999999999e+00,,,,,,,,
250,6828,0,878,"03/30/05 00:00:00",2.2999999999999998e+00,,,,,,,,
255,6839,0,878,"05/01/05 00:00:00",1.5200000000000000e+00,,,,,,,,
258,6860,0,878,"04/30/05 00:00:00",1.2300000000000000e+00,,,,,,,,
259,6861,0,878,"04/30/05 00:00:00",1.6000000000000001e+00,,,,,,,,
260,6862,0,878,"04/30/05 00:00:00",1.5400000000000000e+00,,,,,,,,
261,6863,0,846,"01/15/06 00:00:00",1.7999999999999999e-01,,,,,,,,
264,6870,0,895,,1.3000000000000000e+00,,,,,,,,
265,6872,0,878,"04/30/05 00:00:00",5.4299999999999997e+00,,,,,,,,
266,6879,0,878,"07/14/05 00:00:00",2.3999999999999999e+00,,,,,,,,
267,6885,0,874,"03/30/05 00:00:00",2.0000000000000001e-01,,,,,,,,
268,6886,0,878,,2.2500000000000000e+00,,,,,,,,
269,6889,0,863,"03/30/05 00:00:00",1.1400000000000000e+02,,,,,,,,
270,6890,0,878,"11/20/05 00:00:00",3.2999999999999998e+00,,,,,,,,
271,6891,0,878,"03/30/05 00:00:00",1.9120000000000001e+01,,,,,,,,
272,6892,0,878,"11/15/05 00:00:00",5.0000000000000000e+00,,,,,,,,
273,6894,0,878,"04/18/08 00:00:00",3.2200000000000003e+01,,,,,,,,
274,6895,1,878,,2.7550000000000001e+01,,,,,,,,
275,6899,0,845,"01/15/06 00:00:00",9.5000000000000001e-02,,,,,,,,
276,6900,0,842,"03/20/05 00:00:00",1.1699999999999999e+00,,,,,,,,
278,6902,0,864,,0.0000000000000000e+00,,,,,,,,
279,6903,0,864,"08/28/05 00:00:00",8.5000000000000000e+00,,,,,,,,
280,6905,0,864,"08/28/05 00:00:00",6.5000000000000000e+00,,,,,,,,
281,6907,0,878,"04/30/05 00:00:00",1.7500000000000000e+00,,,,,,,,
284,6910,0,878,"04/30/05 00:00:00",1.7000000000000000e+00,,,,,,,,
286,6913,0,842,"03/30/05 00:00:00",9.0000000000000002e-01,,,,,,,,
287,6914,0,841,"04/30/05 00:00:00",1.4199999999999999e+00,,,,,,,,
288,6917,0,843,"12/15/05 00:00:00",2.5000000000000000e+00,,,,,,,,
289,6919,0,842,"04/30/05 00:00:00",3.7000000000000002e+00,,,,,,,,
304,6797,0,837,"07/20/05 00:00:00",3.0900000000000000e-01,,,,,,,,
306,6805,0,837,"07/20/05 00:00:00",2.8100000000000003e-01,,,,,,,,
307,6806,0,837,"07/20/05 00:00:00",3.1900000000000001e-01,,,,,,,,
308,6806,0,836,"03/21/06 00:00:00",2.9999999999999999e-01,,,,,,,,
309,6806,0,916,"05/20/06 00:00:00",3.0299999999999999e-01,,,,,,,,
310,6922,0,873,,2.3100000000000001e+00,,,,,,,,
311,6925,0,841,"05/01/05 00:00:00",3.0800000000000001e+00,,,,,,,,
312,6926,0,841,"05/28/05 00:00:00",2.3900000000000001e+00,,,,,,,,
314,6929,0,878,"01/20/05 00:00:00",5.9299999999999997e+00,,,,,,,,
316,6933,0,869,"08/20/05 00:00:00",1.0169999999999999e+00,,,,,,,,
318,6934,0,841,"10/10/10 00:00:00",1.3650000000000000e+00,,,,,,,,
322,6950,0,841,"05/28/05 00:00:00",1.8400000000000001e+00,,,,,,,,
323,6939,0,837,"05/01/05 00:00:00",1.3999999999999999e+00,,,,,,,,
326,6823,0,841,"05/01/05 00:00:00",1.5100000000000000e+00,,,,,,,,
327,6857,0,878,"04/30/05 00:00:00",4.7999999999999998e+00,,,,,,,,
328,6858,0,877,"04/30/05 00:00:00",3.5200000000000000e+00,,,,,,,,
329,6859,0,877,"12/28/05 00:00:00",3.9399999999999999e+00,,,,,,,,
332,6893,0,878,"12/27/06 00:00:00",2.1000000000000000e+01,,,,,,,,
333,6936,0,841,"04/30/05 00:00:00",2.5499999999999998e+00,,,,,,,,
335,6944,1,878,"06/15/05 00:00:00",2.5800000000000001e+00,,,,,,,,
338,6948,0,878,"04/30/05 00:00:00",2.5200000000000000e+00,,,,,,,,
339,6949,0,878,"04/30/05 00:00:00",3.0000000000000000e+00,,,,,,,,
340,6951,0,859,"07/20/05 00:00:00",1.7400000000000000e+00,,,,,,,,
341,6952,0,878,"02/20/07 00:00:00",2.9100000000000001e+00,,,,,,,,
342,6955,0,859,"10/21/05 00:00:00",2.5720000000000001e+00,,,,,,,,
