IDStoreControl,IDMarketer,Date,NoApod,Incam
1,879,"08/21/05 00:00:00",100,100.0000
2,880,"04/09/05 00:00:00",200,200.0000
3,883,"05/03/06 00:00:00",,62.7000
4,886,"05/02/06 00:00:00",,49.1000
5,879,"04/10/05 00:00:00",45,0.0000
6,879,"08/23/05 00:00:00",495,964.9000
7,880,"08/22/05 00:00:00",495,933.6000
8,880,"08/23/05 00:00:00",433,872.7000
9,879,"08/24/05 00:00:00",542,1042.3500
10,890,"08/23/05 00:00:00",221,391.2500
11,890,"08/24/05 00:00:00",209,418.9000
12,879,"08/25/05 00:00:00",484,976.7800
13,880,"08/24/05 00:00:00",460,915.4000
15,890,"08/25/05 00:00:00",219,465.9000
17,880,"08/25/05 00:00:00",452,904.0000
18,880,"08/26/05 00:00:00",447,866.7000
19,879,"08/26/05 00:00:00",506,1050.0000
20,879,"08/27/05 00:00:00",548,1302.0000
21,890,"08/26/05 00:00:00",182,425.0000
22,890,"08/26/05 00:00:00",182,425.6500
23,890,"08/27/05 00:00:00",267,700.9000
24,879,"08/29/05 00:00:00",502,968.0000
25,879,"08/30/05 00:00:00",501,937.0000
26,879,"08/31/05 00:00:00",501,1007.0000
27,880,"08/29/05 00:00:00",414,877.2600
28,890,"08/29/05 00:00:00",224,403.5500
29,890,"08/30/05 00:00:00",184,364.2000
30,890,"08/31/05 00:00:00",212,413.3500
31,880,"08/30/05 00:00:00",464,911.5500
32,880,"08/31/05 00:00:00",420,877.9600
33,880,"09/01/05 00:00:00",451,911.9900
34,880,"09/02/05 00:00:00",456,948.8500
35,879,"09/01/05 00:00:00",482,1070.5500
36,879,"09/02/05 00:00:00",496,1076.7000
37,890,"09/01/05 00:00:00",217,408.4000
38,890,"09/02/05 00:00:00",202,439.4500
39,879,"09/03/05 00:00:00",569,1376.7000
40,879,"09/05/05 00:00:00",498,948.4100
41,880,"09/03/05 00:00:00",695,1689.2000
42,890,"09/03/05 00:00:00",263,662.6500
43,890,"09/05/05 00:00:00",220,411.5500
44,880,"09/05/05 00:00:00",488,968.2500
45,880,"09/06/05 00:00:00",463,900.7000
46,880,"09/08/05 00:00:00",451,909.4600
47,879,"09/06/05 00:00:00",537,1017.0000
48,879,"09/07/05 00:00:00",524,1062.6000
49,879,"09/08/05 00:00:00",1021,0.0000
50,890,"09/06/05 00:00:00",194,391.8000
51,890,"09/07/05 00:00:00",207,405.6000
52,890,"09/08/05 00:00:00",212,402.2000
53,890,"09/09/05 00:00:00",216,422.0000
54,879,"09/09/05 00:00:00",529,1135.0000
55,880,"09/09/05 00:00:00",492,989.3000
56,880,"09/10/05 00:00:00",715,1711.3000
57,879,"09/10/05 00:00:00",551,1403.0000
58,890,"09/10/05 00:00:00",277,692.3500
59,879,"09/12/05 00:00:00",453,858.0000
60,890,"09/12/05 00:00:00",201,401.2000
61,890,"09/13/05 00:00:00",204,381.0000
62,880,"09/12/05 00:00:00",450,889.9000
63,879,"09/13/05 00:00:00",503,921.0000
64,880,"09/13/05 00:00:00",473,902.7000
